SYMBOL,OPTION TYPE,STRIKE PRICE,EXPIRATION,OPEN DATE,DTE AT OPEN,CLOSE DATE,QTY,OPEN PRICE,CLOSE PRICE,OPEN AMOUNT,CLOSE AMOUNT,COMMISSION TOTAL,FEES TOTAL,NET PROFIT,RETURN
AAPL,Put,240.0,2025-03-28,2025-02-28,28,2025-03-04,2,7.28,7.3,-1457.06,1458.88,2.0,0.18,1.82,0.0012
JD,Call,60.0,2025-06-20,2025-03-03,109,2025-03-05,2,1.1,1.44,-221.06,286.92,2.0,0.15,65.86,0.2979
JD,Call,60.0,2025-06-20,2025-03-04,108,2025-03-05,2,1.04,1.44,-209.06,286.92,2.0,0.15,77.86,0.3724
NVDA,Put,90.0,2025-06-20,2025-03-05,107,2025-03-06,3,3.75,4.05,-1126.59,1213.37,3.0,0.22,86.78,0.077
BABA,Call,150.0,2025-06-20,2025-03-05,107,2025-03-06,1,11.4,12.5,-1140.53,1249.42,1.0,0.11,108.89,0.0955
SHOP,Put,102.0,2025-04-04,2025-03-05,30,2025-03-07,1,6.25,7.0,-625.53,699.44,1.0,0.09,73.91,0.1182
SPY,Put,575.0,2025-04-04,2025-03-07,28,2025-03-07,1,13.25,14.3,-1325.53,1429.42,1.0,0.11,103.89,0.0784
QQQ,Put,480.0,2025-04-11,2025-03-10,32,2025-03-10,1,15.77,17.0,-1577.53,1699.41,1.0,0.12,121.88,0.0773
AAPL,Put,230.0,2025-06-20,2025-03-05,107,2025-03-10,1,11.96,13.1,-1196.53,1309.42,1.0,0.11,112.89,0.0943
TSLA,Put,200.0,2025-04-04,2025-03-04,31,2025-03-10,3,4.45,5.6,-1336.58,1678.36,3.0,0.22,341.78,0.2557
PLTR,Put,76.0,2025-04-11,2025-03-11,31,2025-03-11,1,7.0,7.15,-700.53,714.44,1.0,0.09,13.91,0.0199
SPY,Put,560.0,2025-03-20,2025-03-11,9,2025-03-11,2,10.04,12.0,-2009.06,2398.86,2.0,0.2,389.8,0.194
TSLA,Put,215.0,2025-03-28,2025-03-11,17,2025-03-11,1,11.45,14.0,-1145.53,1399.42,1.0,0.11,253.89,0.2216
SPY,Put,560.0,2025-04-11,2025-03-12,30,2025-03-12,1,13.83,14.0,-1383.53,1399.42,1.0,0.11,15.89,0.0115
QQQ,Put,480.0,2025-04-11,2025-03-12,30,2025-03-12,1,15.57,16.51,-1557.53,1650.41,1.0,0.12,92.88,0.0596
AAPL,Put,215.0,2025-04-17,2025-03-13,35,2025-03-13,2,7.8,8.5,-1561.06,1698.88,2.0,0.18,137.82,0.0883
QQQ,Put,473.0,2025-03-28,2025-03-13,15,2025-03-13,2,11.63,12.62,-2327.06,2522.85,2.0,0.21,195.79,0.0841
NVDA,Call,131.0,2025-03-28,2025-03-13,15,2025-03-14,4,1.58,1.72,-634.11,685.82,4.0,0.29,51.71,0.0815
AAPL,Put,215.0,2025-05-16,2025-03-14,63,2025-03-14,2,11.5,13.0,-2301.06,2598.85,2.0,0.21,297.79,0.1294
BABA,Call,155.0,2025-06-20,2025-03-07,105,2025-03-17,1,11.75,11.9,-1175.53,1189.42,1.0,0.11,13.89,0.0118
AAPL,Put,215.0,2025-05-16,2025-03-17,60,2025-03-17,1,9.97,10.62,-997.53,1061.43,1.0,0.1,63.9,0.0641
TSLA,Put,245.0,2025-04-04,2025-03-17,18,2025-03-17,1,17.03,17.55,-1703.53,1754.41,1.0,0.12,50.88,0.0299
NVDA,Call,130.0,2025-05-16,2025-03-17,60,2025-03-18,2,7.07,4.5,-1415.06,898.9,2.0,0.16,-516.16,-0.3648
SPY,Put,564.0,2025-04-17,2025-03-18,30,2025-03-18,1,12.11,13.26,-1211.53,1325.42,1.0,0.11,113.89,0.094
SPY,Put,565.0,2025-03-31,2025-03-19,12,2025-03-20,1,8.35,9.0,-835.53,899.43,1.0,0.1,63.9,0.0765
TSLA,Put,230.0,2025-03-21,2025-03-21,0,2025-03-21,1,0.56,0.75,-56.53,74.45,1.0,0.08,17.92,0.317
JD,Call,46.0,2025-03-21,2025-03-06,15,2025-03-21,3,2.44,0.0,-733.58,0.0,1.5,0.08,-733.58,-1.0
